title,url,id,author
The Odyssey,https://www.gutenberg.org/ebooks/3160,3160,Homer
Little Women,https://www.gutenberg.org/ebooks/26297,26297,Louisa May Alcott
"Eve's Diary, Complete",https://www.gutenberg.org/ebooks/8525,8525,Mark Twain
Eugene Oneguine [Onegin],https://www.gutenberg.org/ebooks/23997,23997,Aleksandr Sergeevich Pushkin
A Princess of Mars,https://www.gutenberg.org/ebooks/19515,19515,Edgar Rice Burroughs
The Scarlet Letter,https://www.gutenberg.org/ebooks/33,33,Nathaniel Hawthorne
"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",https://www.gutenberg.org/ebooks/416,416,Sherwood Anderson
The School for Scandal,https://www.gutenberg.org/ebooks/1929,1929,Richard Brinsley Sheridan
Dracula,https://www.gutenberg.org/ebooks/19797,19797,Bram Stoker
The Tale of Genji,https://www.gutenberg.org/ebooks/66057,66057,Murasaki Shikibu
The Romance of Tristan and Iseult,https://www.gutenberg.org/ebooks/14244,14244,Joseph Bédier
The Tenant of Wildfell Hall,https://www.gutenberg.org/ebooks/969,969,Anne Brontë
The Cask of Amontillado,https://www.gutenberg.org/ebooks/1063,1063,Edgar Allan Poe
The Playboy of the Western World: A Comedy in Three Acts,https://www.gutenberg.org/ebooks/1240,1240,J. M. Synge
Anne of Green Gables,https://www.gutenberg.org/ebooks/20593,20593,L. M. Montgomery
Every Man in His Humor,https://www.gutenberg.org/ebooks/5333,5333,Ben Jonson
The Secret Adversary,https://www.gutenberg.org/ebooks/1155,1155,Agatha Christie
Pride and Prejudice,https://www.gutenberg.org/ebooks/20687,20687,Jane Austen
A Princess of Mars,https://www.gutenberg.org/ebooks/62,62,Edgar Rice Burroughs
The call of Cthulhu,https://www.gutenberg.org/ebooks/68283,68283,H. P. Lovecraft
The Mayor of Casterbridge,https://www.gutenberg.org/ebooks/143,143,Thomas Hardy
The Raven,https://www.gutenberg.org/ebooks/17192,17192,Edgar Allan Poe
